t,m,j,u,Price
2018-19,Amhara,Poultry,Kg,561.8990396
2018-19,Amhara,Rice,Kg,27.68061717
2018-19,Amhara,Salt,Kg,29.84781624
2018-19,Amhara,Sesame,Kg,39.95840759
2018-19,Amhara,Shiro,Kg,61.59583785
2018-19,Amhara,Soda,Kg,34.24028676
2018-19,Amhara,Sorghum,Kg,18.93878278
2018-19,Amhara,Sugar,Kg,39.43023752
2018-19,Amhara,Sun Flower,Kg,21.61724633
2018-19,Amhara,Sweet potato,Kg,20.52238755
2018-19,Amhara,Tea,Kg,54.22089746
2018-19,Amhara,Teff,Kg,28.41227801
2018-19,Amhara,Tella,Kg,8.866398488
2018-19,Amhara,Tomato,Kg,20.91131835
2018-19,Amhara,Vetch,Kg,27.32109211
2018-19,Amhara,Wheat,Kg,21.18730182
2018-19,Benishangul-Gumuz,Avocado,Kg,24.96084261
2018-19,Benishangul-Gumuz,Banana,Kg,17.61649197
2018-19,Benishangul-Gumuz,Barley,Kg,37.79992891
2018-19,Benishangul-Gumuz,Beef,Kg,200.9231404
2018-19,Benishangul-Gumuz,Beer,Kg,100.2389614
2018-19,Benishangul-Gumuz,Beetroot,Kg,23.4057565
2018-19,Benishangul-Gumuz,Berbere,Kg,72.73316497
2018-19,Benishangul-Gumuz,Bread/biscuit,Kg,14.2586124
2018-19,Benishangul-Gumuz,Bula,Kg,99.99999525
2018-19,Benishangul-Gumuz,Butter/ghee,Kg,196.1807618
2018-19,Benishangul-Gumuz,Carrot,Kg,22.12832846
2018-19,Benishangul-Gumuz,Chat/Kat,Kg,159.3509097
2018-19,Benishangul-Gumuz,Cheese,Kg,99.99999525
2018-19,Benishangul-Gumuz,Chick Pea,Kg,36.69853898
2018-19,Benishangul-Gumuz,Coffee,Kg,107.6401319
2018-19,Benishangul-Gumuz,Eggs,Kg,28.49987215
2018-19,Benishangul-Gumuz,Fenugreek,Kg,66.24835978
2018-19,Benishangul-Gumuz,Field Pea,Kg,35.13799037
2018-19,Benishangul-Gumuz,Fish,Kg,121.8405804
2018-19,Benishangul-Gumuz,Garlic,Kg,83.96322965
2018-19,Benishangul-Gumuz,Goat & mutton meat,Kg,295.0447407
2018-19,Benishangul-Gumuz,Ground nuts,Kg,47.45014376
2018-19,Benishangul-Gumuz,Haricot Beans,Kg,31.76756657
2018-19,Benishangul-Gumuz,Honey,Kg,90.83913748
2018-19,Benishangul-Gumuz,Hops (gesho),Kg,21.70672191
2018-19,Benishangul-Gumuz,Horsebeans,Kg,30.81655152
2018-19,Benishangul-Gumuz,Injera,Kg,35.92307727
2018-19,Benishangul-Gumuz,Kariya,Kg,18.5767561
2018-19,Benishangul-Gumuz,Kocho,Kg,18.57379705
2018-19,Benishangul-Gumuz,Leafy Greens,Kg,21.65873102
2018-19,Benishangul-Gumuz,Lentils,Kg,64.54615856
2018-19,Benishangul-Gumuz,Linseed,Kg,39.47937545
2018-19,Benishangul-Gumuz,Maize,Kg,13.01023034
2018-19,Benishangul-Gumuz,Mango,Kg,15.61094994
2018-19,Benishangul-Gumuz,Milk,Kg,30.70681743
2018-19,Benishangul-Gumuz,Millet,Kg,11.86566888
2018-19,Benishangul-Gumuz,Moringa/Shiferaw/Halloka,Kg,12.18518796
2018-19,Benishangul-Gumuz,Niger Seed,Kg,37.26336889
2018-19,Benishangul-Gumuz,Oats,Kg,39.33333286
2018-19,Benishangul-Gumuz,Oils,Kg,57.8740895
2018-19,Benishangul-Gumuz,Onion,Kg,135.2215532
2018-19,Benishangul-Gumuz,Orange,Kg,11.76765081
2018-19,Benishangul-Gumuz,Other condiments,Kg,76.72374381
2018-19,Benishangul-Gumuz,Other fruit,Kg,2.499999963
2018-19,Benishangul-Gumuz,Other prepared food,Kg,58.33333102
2018-19,Benishangul-Gumuz,Other seed,Kg,140
2018-19,Benishangul-Gumuz,Other vegetable,Kg,162.8753511
2018-19,Benishangul-Gumuz,Papaya,Kg,39.58333192
2018-19,Benishangul-Gumuz,Pasta/Macaroni,Kg,35.02343082
2018-19,Benishangul-Gumuz,Potato,Kg,13.73277615
2018-19,Benishangul-Gumuz,Poultry,Kg,783.7463673
2018-19,Benishangul-Gumuz,Rice,Kg,32.39628208
2018-19,Benishangul-Gumuz,Salt,Kg,37.26036471
2018-19,Benishangul-Gumuz,Sesame,Kg,50.42780763
2018-19,Benishangul-Gumuz,Shiro,Kg,41.236589
2018-19,Benishangul-Gumuz,Soda,Kg,59.41415802
2018-19,Benishangul-Gumuz,Sorghum,Kg,34.51348075
2018-19,Benishangul-Gumuz,Sugar,Kg,38.49466667
2018-19,Benishangul-Gumuz,Sweet potato,Kg,23.08768615
2018-19,Benishangul-Gumuz,Tea,Kg,46.75522571
2018-19,Benishangul-Gumuz,Teff,Kg,32.66718621
2018-19,Benishangul-Gumuz,Tella,Kg,6.289419806
2018-19,Benishangul-Gumuz,Tomato,Kg,18.33186741
2018-19,Benishangul-Gumuz,Vetch,Kg,23.63942832
2018-19,Benishangul-Gumuz,Wheat,Kg,23.59090903
2018-19,Dire Dawa,Avocado,Kg,29.79693405
2018-19,Dire Dawa,Banana,Kg,31.62223079
2018-19,Dire Dawa,Barley,Kg,26.97407491
2018-19,Dire Dawa,Beef,Kg,302.8318524
2018-19,Dire Dawa,Beer,Kg,72.02922521
2018-19,Dire Dawa,Beetroot,Kg,21.46784391
2018-19,Dire Dawa,Berbere,Kg,107.153009
2018-19,Dire Dawa,Bread/biscuit,Kg,13.71099989
2018-19,Dire Dawa,Bula,Kg,93.82352912
2018-19,Dire Dawa,Butter/ghee,Kg,264.8858367
2018-19,Dire Dawa,Carrot,Kg,21.33958762
2018-19,Dire Dawa,Chat/Kat,Kg,149.7422534
2018-19,Dire Dawa,Cheese,Kg,120
2018-19,Dire Dawa,Chick Pea,Kg,37.40731954
2018-19,Dire Dawa,Coffee,Kg,309.6307917
2018-19,Dire Dawa,Eggs,Kg,31.42170064
2018-19,Dire Dawa,Fenugreek,Kg,56.38863418
2018-19,Dire Dawa,Field Pea,Kg,37.7903426
2018-19,Dire Dawa,Fish,Kg,68.96278537
2018-19,Dire Dawa,Garlic,Kg,66.69899014
2018-19,Dire Dawa,Goat & mutton meat,Kg,278.6251159
2018-19,Dire Dawa,Ground nuts,Kg,64.94367712
2018-19,Dire Dawa,Haricot Beans,Kg,30.83660199
2018-19,Dire Dawa,Honey,Kg,194.7142814
