Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","231","Ethiopia","5521","Feed","S2511","Wheat and products","2014","2014","1000 t","54","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5527","Seed","S2511","Wheat and products","2014","2014","1000 t","148","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5123","Losses","S2511","Wheat and products","2014","2014","1000 t","200","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5131","Processing","S2511","Wheat and products","2014","2014","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5154","Other uses (non-food)","S2511","Wheat and products","2014","2014","1000 t","466","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5170","Residuals","S2511","Wheat and products","2014","2014","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5142","Food","S2511","Wheat and products","2014","2014","1000 t","4781","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","645","Food supply quantity (kg/capita/yr)","S2511","Wheat and products","2014","2014","kg/cap","47.93","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2014","2014","kcal/cap/d","407.83","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","661","Food supply (kcal)","S2511","Wheat and products","2014","2014","million Kcal","14848150.35","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","674","Protein supply quantity (g/capita/day)","S2511","Wheat and products","2014","2014","g/cap/d","12.88","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","671","Protein supply quantity (t)","S2511","Wheat and products","2014","2014","t","468911.93","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","684","Fat supply quantity (g/capita/day)","S2511","Wheat and products","2014","2014","g/cap/d","1.91","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","681","Fat supply quantity (t)","S2511","Wheat and products","2014","2014","t","69690.51","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5511","Production","S2511","Wheat and products","2015","2015","1000 t","4651","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5611","Import quantity","S2511","Wheat and products","2015","2015","1000 t","1374","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5072","Stock Variation","S2511","Wheat and products","2015","2015","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5911","Export quantity","S2511","Wheat and products","2015","2015","1000 t","8","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5301","Domestic supply quantity","S2511","Wheat and products","2015","2015","1000 t","6017","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5521","Feed","S2511","Wheat and products","2015","2015","1000 t","59","I","Imputed value",""
