i,t,m,j,Expenditure
030606088800202083,2018-19,Amhara,Oils,20
030606088800202083,2018-19,Amhara,Onion,15
030606088800202083,2018-19,Amhara,Salt,2
030606088800202083,2018-19,Amhara,Sugar,15
030606088800202095,2018-19,Amhara,Berbere,15
030606088800202095,2018-19,Amhara,Coffee,23
030606088800202095,2018-19,Amhara,Niger Seed,11
030606088800202095,2018-19,Amhara,Oils,23
030606088800202095,2018-19,Amhara,Salt,3
030606088800202107,2018-19,Amhara,Berbere,12
030606088800202107,2018-19,Amhara,Coffee,22
030606088800202107,2018-19,Amhara,Niger Seed,20
030606088800202107,2018-19,Amhara,Oils,20
030606088800202107,2018-19,Amhara,Onion,12
030606088800202107,2018-19,Amhara,Salt,2
030606088800202119,2018-19,Amhara,Berbere,14
030606088800202119,2018-19,Amhara,Coffee,26
030606088800202119,2018-19,Amhara,Niger Seed,20
030606088800202119,2018-19,Amhara,Oils,40
030606088800202119,2018-19,Amhara,Onion,11
030606088800202119,2018-19,Amhara,Salt,3
030606088800202135,2018-19,Amhara,Coffee,22
030606088800202135,2018-19,Amhara,Fenugreek,8
030606088800202135,2018-19,Amhara,Niger Seed,12
030606088800202135,2018-19,Amhara,Oils,20
030606088800202135,2018-19,Amhara,Onion,12
030606088800202135,2018-19,Amhara,Salt,4
0306100101001100.a,2018-19,Amhara,Barley,33
0306100101001100.a,2018-19,Amhara,Berbere,20
0306100101001100.a,2018-19,Amhara,Bread/biscuit,12
0306100101001100.a,2018-19,Amhara,Coffee,25
0306100101001100.a,2018-19,Amhara,Hops (gesho),16
0306100101001100.a,2018-19,Amhara,Leafy Greens,10
0306100101001100.a,2018-19,Amhara,Maize,60
0306100101001100.a,2018-19,Amhara,Oils,20
0306100101001100.a,2018-19,Amhara,Onion,25
0306100101001100.a,2018-19,Amhara,Potato,50
0306100101001100.a,2018-19,Amhara,Salt,3
0306100101001100.a,2018-19,Amhara,Teff,68
0306100101001100.a,2018-19,Amhara,Tella,20
0306100101001100.a,2018-19,Amhara,Vetch,33
0306100101001100.a,2018-19,Amhara,Wheat,92
030610010100110009,2018-19,Amhara,Sugar,5
030610010100110021,2018-19,Amhara,Injera,12
030610010100110021,2018-19,Amhara,Salt,3
030610010100110033,2018-19,Amhara,Berbere,20
030610010100110033,2018-19,Amhara,Coffee,25
030610010100110033,2018-19,Amhara,Leafy Greens,2
030610010100110033,2018-19,Amhara,Oils,21
030610010100110033,2018-19,Amhara,Onion,25
030610010100110033,2018-19,Amhara,Salt,3
030610010100110033,2018-19,Amhara,Sugar,11
030610010100110045,2018-19,Amhara,Barley,40
030610010100110045,2018-19,Amhara,Berbere,15
030610010100110045,2018-19,Amhara,Coffee,25
030610010100110045,2018-19,Amhara,Hops (gesho),8
030610010100110045,2018-19,Amhara,Maize,48
030610010100110045,2018-19,Amhara,Oils,9
030610010100110045,2018-19,Amhara,Onion,7
030610010100110045,2018-19,Amhara,Potato,60
030610010100110045,2018-19,Amhara,Salt,3
030610010100110045,2018-19,Amhara,Sugar,12
030610010100110045,2018-19,Amhara,Teff,35
030610010100110045,2018-19,Amhara,Vetch,16
030610010100110045,2018-19,Amhara,Wheat,44
030610010100110057,2018-19,Amhara,Bread/biscuit,23
030610010100110057,2018-19,Amhara,Coffee,25
030610010100110057,2018-19,Amhara,Fenugreek,5
030610010100110057,2018-19,Amhara,Kariya,5
030610010100110057,2018-19,Amhara,Maize,45
030610010100110057,2018-19,Amhara,Oils,15
030610010100110057,2018-19,Amhara,Onion,25
030610010100110057,2018-19,Amhara,Orange,10
030610010100110057,2018-19,Amhara,Salt,3
030610010100110057,2018-19,Amhara,Soda,10
030610010100110057,2018-19,Amhara,Sugar,25
030610010100110057,2018-19,Amhara,Vetch,30
030610010100110081,2018-19,Amhara,Banana,30
030610010100110081,2018-19,Amhara,Barley,20
030610010100110081,2018-19,Amhara,Beetroot,6
030610010100110081,2018-19,Amhara,Berbere,25
030610010100110081,2018-19,Amhara,Bread/biscuit,10
030610010100110081,2018-19,Amhara,Butter/ghee,10
030610010100110081,2018-19,Amhara,Carrot,5
030610010100110081,2018-19,Amhara,Chick Pea,20
030610010100110081,2018-19,Amhara,Coffee,30
030610010100110081,2018-19,Amhara,Eggs,9
030610010100110081,2018-19,Amhara,Field Pea,14
030610010100110081,2018-19,Amhara,Garlic,10
030610010100110081,2018-19,Amhara,Honey,10
030610010100110081,2018-19,Amhara,Horsebeans,17
030610010100110081,2018-19,Amhara,Kariya,6
030610010100110081,2018-19,Amhara,Leafy Greens,4
030610010100110081,2018-19,Amhara,Lentils,18
030610010100110081,2018-19,Amhara,Maize,9
030610010100110081,2018-19,Amhara,Milk,18
030610010100110081,2018-19,Amhara,Oats,10
030610010100110081,2018-19,Amhara,Oils,45
030610010100110081,2018-19,Amhara,Onion,50
030610010100110081,2018-19,Amhara,Orange,20
030610010100110081,2018-19,Amhara,Pasta/Macaroni,15
030610010100110081,2018-19,Amhara,Potato,10
030610010100110081,2018-19,Amhara,Rice,15
030610010100110081,2018-19,Amhara,Salt,2
030610010100110081,2018-19,Amhara,Sugar,11
030610010100110081,2018-19,Amhara,Teff,38
030610010100110081,2018-19,Amhara,Wheat,13
030610010100110093,2018-19,Amhara,Banana,30
030610010100110093,2018-19,Amhara,Berbere,30
030610010100110093,2018-19,Amhara,Kariya,6
030610010100110093,2018-19,Amhara,Leafy Greens,12
030610010100110093,2018-19,Amhara,Maize,30
030610010100110093,2018-19,Amhara,Oils,45
030610010100110093,2018-19,Amhara,Onion,20
030610010100110093,2018-19,Amhara,Salt,5
030610010100110093,2018-19,Amhara,Sugar,21
030610010100110093,2018-19,Amhara,Teff,140
030610010100110093,2018-19,Amhara,Vetch,33
030610010100110093,2018-19,Amhara,Wheat,22
030610010100110105,2018-19,Amhara,Barley,69
030610010100110105,2018-19,Amhara,Beef,4
030610010100110105,2018-19,Amhara,Berbere,20
030610010100110105,2018-19,Amhara,Bread/biscuit,20
030610010100110105,2018-19,Amhara,Butter/ghee,25
030610010100110105,2018-19,Amhara,Chick Pea,20
030610010100110105,2018-19,Amhara,Coffee,25
030610010100110105,2018-19,Amhara,Fenugreek,5
030610010100110105,2018-19,Amhara,Garlic,20
030610010100110105,2018-19,Amhara,Hops (gesho),20
030610010100110105,2018-19,Amhara,Kariya,10
030610010100110105,2018-19,Amhara,Leafy Greens,8
030610010100110105,2018-19,Amhara,Maize,30
030610010100110105,2018-19,Amhara,Oils,40
030610010100110105,2018-19,Amhara,Onion,24
030610010100110105,2018-19,Amhara,Potato,30
030610010100110105,2018-19,Amhara,Salt,5
030610010100110105,2018-19,Amhara,Sugar,11
030610010100110105,2018-19,Amhara,Vetch,16
030610010100110117,2018-19,Amhara,Coffee,13
030610010100110117,2018-19,Amhara,Salt,2
030610010100110129,2018-19,Amhara,Berbere,30
030610010100110129,2018-19,Amhara,Coffee,25
030610010100110129,2018-19,Amhara,Fenugreek,2
030610010100110129,2018-19,Amhara,Hops (gesho),5
030610010100110129,2018-19,Amhara,Maize,54
030610010100110129,2018-19,Amhara,Oils,20
030610010100110129,2018-19,Amhara,Onion,24
030610010100110129,2018-19,Amhara,Potato,150
030610010100110129,2018-19,Amhara,Salt,3
030610010100110129,2018-19,Amhara,Sugar,25
030610010100110141,2018-19,Amhara,Berbere,20
030610010100110141,2018-19,Amhara,Coffee,13
030610010100110141,2018-19,Amhara,Oils,10
030610010100110141,2018-19,Amhara,Onion,13
030610010100110141,2018-19,Amhara,Salt,2
030610010100110153,2018-19,Amhara,Berbere,25
030610010100110153,2018-19,Amhara,Coffee,25
030610010100110153,2018-19,Amhara,Oils,14
030610010100110153,2018-19,Amhara,Onion,25
030610010100110153,2018-19,Amhara,Salt,4
030610010100110153,2018-19,Amhara,Sugar,10
030610010100110165,2018-19,Amhara,Berbere,15
030610010100110165,2018-19,Amhara,Coffee,25
030610010100110165,2018-19,Amhara,Fenugreek,20
030610010100110165,2018-19,Amhara,Garlic,5
030610010100110165,2018-19,Amhara,Hops (gesho),8
030610010100110165,2018-19,Amhara,Kariya,5
030610010100110165,2018-19,Amhara,Leafy Greens,4
030610010100110165,2018-19,Amhara,Maize,30
030610010100110165,2018-19,Amhara,Niger Seed,10
030610010100110165,2018-19,Amhara,Oils,45
030610010100110165,2018-19,Amhara,Onion,44
030610010100110165,2018-19,Amhara,Orange,8
030610010100110165,2018-19,Amhara,Salt,5
030610010100110165,2018-19,Amhara,Sugar,22
030610010100110165,2018-19,Amhara,Vetch,16
030610010100110177,2018-19,Amhara,Barley,24
030610010100110177,2018-19,Amhara,Berbere,15
030610010100110177,2018-19,Amhara,Coffee,10
030610010100110177,2018-19,Amhara,Salt,2
030610010100110177,2018-19,Amhara,Vetch,17
030610088800708012,2018-19,Amhara,Berbere,15
030610088800708012,2018-19,Amhara,Coffee,25
030610088800708012,2018-19,Amhara,Kariya,5
030610088800708012,2018-19,Amhara,Onion,25
030610088800708012,2018-19,Amhara,Salt,5
030610088800708012,2018-19,Amhara,Sugar,20
030610088800708012,2018-19,Amhara,Vetch,17
030610088800708028,2018-19,Amhara,Berbere,20
030610088800708028,2018-19,Amhara,Chick Pea,60
030610088800708028,2018-19,Amhara,Coffee,60
030610088800708028,2018-19,Amhara,Horsebeans,60
030610088800708028,2018-19,Amhara,Oils,40
030610088800708028,2018-19,Amhara,Onion,25
030610088800708028,2018-19,Amhara,Salt,6
030610088800708028,2018-19,Amhara,Sugar,12
030610088800708028,2018-19,Amhara,Vetch,60
030610088800708044,2018-19,Amhara,Berbere,15
030610088800708044,2018-19,Amhara,Oils,20
030610088800708044,2018-19,Amhara,Onion,12
030610088800708044,2018-19,Amhara,Salt,3
030610088800708044,2018-19,Amhara,Vetch,17
030610088800708045,2018-19,Amhara,Berbere,20
030610088800708045,2018-19,Amhara,Coffee,13
030610088800708045,2018-19,Amhara,Oils,40
030610088800708045,2018-19,Amhara,Onion,15
030610088800708045,2018-19,Amhara,Salt,3
030610088800708045,2018-19,Amhara,Vetch,32
030610088800708061,2018-19,Amhara,Berbere,25
030610088800708061,2018-19,Amhara,Coffee,52
030610088800708061,2018-19,Amhara,Oils,40
030610088800708061,2018-19,Amhara,Onion,13
030610088800708061,2018-19,Amhara,Salt,3
030610088800708061,2018-19,Amhara,Sugar,13
030610088800708061,2018-19,Amhara,Vetch,33
030610088800708077,2018-19,Amhara,Berbere,15
030610088800708077,2018-19,Amhara,Coffee,4
030610088800708077,2018-19,Amhara,Oils,40
030610088800708077,2018-19,Amhara,Onion,13
030610088800708077,2018-19,Amhara,Salt,6
030610088800708077,2018-19,Amhara,Sugar,6
030610088800708077,2018-19,Amhara,Vetch,33
030610088800708093,2018-19,Amhara,Berbere,15
030610088800708093,2018-19,Amhara,Coffee,13
030610088800708093,2018-19,Amhara,Oils,44
030610088800708093,2018-19,Amhara,Onion,13
030610088800708093,2018-19,Amhara,Salt,6
030610088800708093,2018-19,Amhara,Vetch,33
030610088800708109,2018-19,Amhara,Berbere,15
030610088800708109,2018-19,Amhara,Coffee,26
030610088800708109,2018-19,Amhara,Onion,25
030610088800708109,2018-19,Amhara,Salt,6
030610088800708109,2018-19,Amhara,Sugar,13
030610088800708109,2018-19,Amhara,Vetch,33
030610088800708125,2018-19,Amhara,Berbere,20
030610088800708125,2018-19,Amhara,Coffee,25
030610088800708125,2018-19,Amhara,Horsebeans,33
030610088800708125,2018-19,Amhara,Oils,44
030610088800708125,2018-19,Amhara,Salt,3
030610088800708125,2018-19,Amhara,Sugar,12
030610088800708125,2018-19,Amhara,Vetch,33
030610088800708141,2018-19,Amhara,Berbere,25
030610088800708141,2018-19,Amhara,Coffee,52
030610088800708141,2018-19,Amhara,Oils,40
030610088800708141,2018-19,Amhara,Onion,20
030610088800708141,2018-19,Amhara,Salt,6
030610088800708141,2018-19,Amhara,Vetch,45
030610088800708157,2018-19,Amhara,Berbere,15
030610088800708157,2018-19,Amhara,Oils,40
030610088800708157,2018-19,Amhara,Onion,12
030610088800708157,2018-19,Amhara,Salt,3
030610088800708157,2018-19,Amhara,Vetch,33
030614088801003007,2018-19,Amhara,Berbere,12
030614088801003007,2018-19,Amhara,Coffee,13
030614088801003007,2018-19,Amhara,Potato,10
030614088801003007,2018-19,Amhara,Salt,4
030614088801003007,2018-19,Amhara,Vetch,12
030614088801003017,2018-19,Amhara,Berbere,10
030614088801003017,2018-19,Amhara,Coffee,22
030614088801003017,2018-19,Amhara,Onion,22
030614088801003017,2018-19,Amhara,Salt,3
030614088801003017,2018-19,Amhara,Vetch,6
030614088801003019,2018-19,Amhara,Berbere,7
030614088801003019,2018-19,Amhara,Coffee,12
030614088801003019,2018-19,Amhara,Oils,14
030614088801003019,2018-19,Amhara,Salt,2
030614088801003019,2018-19,Amhara,Vetch,5
030614088801003029,2018-19,Amhara,Berbere,5
030614088801003029,2018-19,Amhara,Coffee,8
030614088801003029,2018-19,Amhara,Kariya,8
030614088801003029,2018-19,Amhara,Onion,5
030614088801003029,2018-19,Amhara,Vetch,6
030614088801003032,2018-19,Amhara,Coffee,12
030614088801003032,2018-19,Amhara,Salt,2
030614088801003040,2018-19,Amhara,Berbere,15
030614088801003040,2018-19,Amhara,Coffee,25
030614088801003040,2018-19,Amhara,Onion,24
030614088801003040,2018-19,Amhara,Potato,5
030614088801003040,2018-19,Amhara,Salt,5
030614088801003040,2018-19,Amhara,Vetch,10
030614088801003040,2018-19,Amhara,Wheat,40
030614088801003050,2018-19,Amhara,Berbere,15
030614088801003050,2018-19,Amhara,Coffee,25
030614088801003050,2018-19,Amhara,Onion,12
030614088801003050,2018-19,Amhara,Salt,3
030614088801003050,2018-19,Amhara,Vetch,5
030614088801003060,2018-19,Amhara,Berbere,15
030614088801003060,2018-19,Amhara,Coffee,25
030614088801003060,2018-19,Amhara,Niger Seed,10
030614088801003060,2018-19,Amhara,Onion,22
030614088801003060,2018-19,Amhara,Salt,3
030614088801003070,2018-19,Amhara,Berbere,35
030614088801003070,2018-19,Amhara,Coffee,25
030614088801003070,2018-19,Amhara,Salt,3
030614088801003070,2018-19,Amhara,Vetch,25
030614088801003080,2018-19,Amhara,Beetroot,6
030614088801003080,2018-19,Amhara,Berbere,10
030614088801003080,2018-19,Amhara,Coffee,50
030614088801003080,2018-19,Amhara,Field Pea,30
030614088801003080,2018-19,Amhara,Kariya,14
030614088801003080,2018-19,Amhara,Onion,22
030614088801003080,2018-19,Amhara,Potato,5
030614088801003080,2018-19,Amhara,Salt,3
030614088801003080,2018-19,Amhara,Sugar,6
030614088801003080,2018-19,Amhara,Vetch,36
030614088801003080,2018-19,Amhara,Wheat,63
030614088801003090,2018-19,Amhara,Berbere,16
030614088801003090,2018-19,Amhara,Coffee,25
030614088801003090,2018-19,Amhara,Onion,12
030614088801003090,2018-19,Amhara,Salt,4
030614088801003090,2018-19,Amhara,Vetch,20
030614088801003101,2018-19,Amhara,Berbere,15
030614088801003101,2018-19,Amhara,Coffee,12
030614088801003101,2018-19,Amhara,Kariya,8
030614088801003101,2018-19,Amhara,Salt,3
030614088801003101,2018-19,Amhara,Vetch,10
030616010100207007,2018-19,Amhara,Banana,25
030616010100207007,2018-19,Amhara,Beef,180
030616010100207007,2018-19,Amhara,Beer,210
030616010100207007,2018-19,Amhara,Berbere,80
030616010100207007,2018-19,Amhara,Bread/biscuit,35
030616010100207007,2018-19,Amhara,Butter/ghee,60
030616010100207007,2018-19,Amhara,Carrot,5
030616010100207007,2018-19,Amhara,Chick Pea,38
030616010100207007,2018-19,Amhara,Coffee,60
030616010100207007,2018-19,Amhara,Eggs,38
030616010100207007,2018-19,Amhara,Garlic,13
030616010100207007,2018-19,Amhara,Honey,65
030616010100207007,2018-19,Amhara,Horsebeans,38
030616010100207007,2018-19,Amhara,Kariya,8
030616010100207007,2018-19,Amhara,Leafy Greens,10
030616010100207007,2018-19,Amhara,Lentils,40
030616010100207007,2018-19,Amhara,Linseed,12
030616010100207007,2018-19,Amhara,Mango,32
030616010100207007,2018-19,Amhara,Oils,90
030616010100207007,2018-19,Amhara,Onion,54
030616010100207007,2018-19,Amhara,Orange,18
030616010100207007,2018-19,Amhara,Pasta/Macaroni,18
030616010100207007,2018-19,Amhara,Potato,50
030616010100207007,2018-19,Amhara,Salt,2
030616010100207007,2018-19,Amhara,Soda,70
030616010100207007,2018-19,Amhara,Sugar,11
030616010100207007,2018-19,Amhara,Tea,6
030616010100207007,2018-19,Amhara,Teff,160
030616010100207007,2018-19,Amhara,Vetch,38
030616010100207019,2018-19,Amhara,Berbere,40
030616010100207019,2018-19,Amhara,Bread/biscuit,10
030616010100207019,2018-19,Amhara,Eggs,19
030616010100207019,2018-19,Amhara,Leafy Greens,5
030616010100207019,2018-19,Amhara,Maize,14
030616010100207019,2018-19,Amhara,Oils,20
030616010100207019,2018-19,Amhara,Onion,13
030616010100207019,2018-19,Amhara,Pasta/Macaroni,18
030616010100207019,2018-19,Amhara,Potato,50
030616010100207019,2018-19,Amhara,Salt,5
030616010100207019,2018-19,Amhara,Sugar,11
030616010100207019,2018-19,Amhara,Tea,5
030616010100207019,2018-19,Amhara,Teff,60
030616010100207019,2018-19,Amhara,Tella,20
030616010100207019,2018-19,Amhara,Vetch,40
030616010100207019,2018-19,Amhara,Wheat,18
030616010100207031,2018-19,Amhara,Berbere,20
030616010100207031,2018-19,Amhara,Bread/biscuit,21
030616010100207031,2018-19,Amhara,Injera,147
030616010100207031,2018-19,Amhara,Leafy Greens,5
030616010100207031,2018-19,Amhara,Oils,20
030616010100207031,2018-19,Amhara,Onion,12
030616010100207031,2018-19,Amhara,Pasta/Macaroni,17
030616010100207031,2018-19,Amhara,Potato,25
030616010100207031,2018-19,Amhara,Salt,3
030616010100207031,2018-19,Amhara,Shiro,25
030616010100207031,2018-19,Amhara,Sugar,11
030616010100207031,2018-19,Amhara,Tea,6
030616010100207043,2018-19,Amhara,Berbere,20
030616010100207043,2018-19,Amhara,Bread/biscuit,35
030616010100207043,2018-19,Amhara,Carrot,5
030616010100207043,2018-19,Amhara,Coffee,25
030616010100207043,2018-19,Amhara,Garlic,10
030616010100207043,2018-19,Amhara,Injera,49
030616010100207043,2018-19,Amhara,Kariya,10
030616010100207043,2018-19,Amhara,Leafy Greens,15
030616010100207043,2018-19,Amhara,Oils,20
030616010100207043,2018-19,Amhara,Onion,13
030616010100207043,2018-19,Amhara,Pasta/Macaroni,54
030616010100207043,2018-19,Amhara,Potato,30
030616010100207043,2018-19,Amhara,Rice,24
030616010100207043,2018-19,Amhara,Salt,10
030616010100207043,2018-19,Amhara,Shiro,40
030616010100207043,2018-19,Amhara,Sugar,11
030616010100207043,2018-19,Amhara,Tea,6
030616010100207043,2018-19,Amhara,Teff,32
030616010100207043,2018-19,Amhara,Wheat,75
030616010100207055,2018-19,Amhara,Berbere,80
030616010100207055,2018-19,Amhara,Bread/biscuit,8
030616010100207055,2018-19,Amhara,Butter/ghee,60
030616010100207055,2018-19,Amhara,Carrot,10
030616010100207055,2018-19,Amhara,Chick Pea,80
030616010100207055,2018-19,Amhara,Coffee,60
030616010100207055,2018-19,Amhara,Eggs,20
030616010100207055,2018-19,Amhara,Garlic,10
030616010100207055,2018-19,Amhara,Goat & mutton meat,110
030616010100207055,2018-19,Amhara,Horsebeans,80
030616010100207055,2018-19,Amhara,Kariya,20
030616010100207055,2018-19,Amhara,Leafy Greens,35
030616010100207055,2018-19,Amhara,Oils,45
030616010100207055,2018-19,Amhara,Onion,52
030616010100207055,2018-19,Amhara,Pasta/Macaroni,36
030616010100207055,2018-19,Amhara,Potato,70
030616010100207055,2018-19,Amhara,Salt,10
030616010100207055,2018-19,Amhara,Sugar,44
030616010100207055,2018-19,Amhara,Tea,8
030616010100207055,2018-19,Amhara,Teff,300
030616010100207067,2018-19,Amhara,Bread/biscuit,25
030616010100207067,2018-19,Amhara,Injera,112
030616010100207067,2018-19,Amhara,Kariya,5
030616010100207067,2018-19,Amhara,Leafy Greens,3
030616010100207067,2018-19,Amhara,Oils,40
030616010100207067,2018-19,Amhara,Onion,25
030616010100207067,2018-19,Amhara,Pasta/Macaroni,36
030616010100207067,2018-19,Amhara,Potato,10
030616010100207067,2018-19,Amhara,Salt,3
030616010100207067,2018-19,Amhara,Shiro,25
030616010100207067,2018-19,Amhara,Sugar,11
030616010100207067,2018-19,Amhara,Tea,5
030616010100207079,2018-19,Amhara,Barley,27
030616010100207079,2018-19,Amhara,Beetroot,9
030616010100207079,2018-19,Amhara,Berbere,35
030616010100207079,2018-19,Amhara,Butter/ghee,40
030616010100207079,2018-19,Amhara,Carrot,10
030616010100207079,2018-19,Amhara,Chick Pea,38
030616010100207079,2018-19,Amhara,Coffee,60
030616010100207079,2018-19,Amhara,Garlic,10
030616010100207079,2018-19,Amhara,Horsebeans,38
030616010100207079,2018-19,Amhara,Kariya,5
030616010100207079,2018-19,Amhara,Leafy Greens,12
030616010100207079,2018-19,Amhara,Maize,32
030616010100207079,2018-19,Amhara,Milk,12
030616010100207079,2018-19,Amhara,Oils,45
030616010100207079,2018-19,Amhara,Onion,50
030616010100207079,2018-19,Amhara,Orange,12
030616010100207079,2018-19,Amhara,Potato,30
030616010100207079,2018-19,Amhara,Salt,5
030616010100207079,2018-19,Amhara,Sugar,11
030616010100207079,2018-19,Amhara,Tea,6
030616010100207079,2018-19,Amhara,Teff,105
030616010100207079,2018-19,Amhara,Vetch,38
030616010100207079,2018-19,Amhara,Wheat,33
030616010100207091,2018-19,Amhara,Barley,40
030616010100207091,2018-19,Amhara,Berbere,50
030616010100207091,2018-19,Amhara,Bread/biscuit,25
030616010100207091,2018-19,Amhara,Coffee,30
030616010100207091,2018-19,Amhara,Horsebeans,40
030616010100207091,2018-19,Amhara,Leafy Greens,5
030616010100207091,2018-19,Amhara,Maize,36
030616010100207091,2018-19,Amhara,Oils,45
030616010100207091,2018-19,Amhara,Onion,26
030616010100207091,2018-19,Amhara,Pasta/Macaroni,18
030616010100207091,2018-19,Amhara,Potato,100
030616010100207091,2018-19,Amhara,Salt,5
030616010100207091,2018-19,Amhara,Sugar,22
030616010100207091,2018-19,Amhara,Tea,5
030616010100207091,2018-19,Amhara,Teff,90
030616010100207091,2018-19,Amhara,Vetch,40
030616010100207091,2018-19,Amhara,Wheat,30
030616010100207103,2018-19,Amhara,Barley,40
030616010100207103,2018-19,Amhara,Beef,200
030616010100207103,2018-19,Amhara,Berbere,35
030616010100207103,2018-19,Amhara,Bread/biscuit,10
030616010100207103,2018-19,Amhara,Butter/ghee,35
030616010100207103,2018-19,Amhara,Coffee,30
030616010100207103,2018-19,Amhara,Eggs,16
030616010100207103,2018-19,Amhara,Garlic,5
030616010100207103,2018-19,Amhara,Horsebeans,33
030616010100207103,2018-19,Amhara,Kariya,20
030616010100207103,2018-19,Amhara,Leafy Greens,9
030616010100207103,2018-19,Amhara,Lentils,37
030616010100207103,2018-19,Amhara,Maize,45
030616010100207103,2018-19,Amhara,Oils,40
030616010100207103,2018-19,Amhara,Onion,26
030616010100207103,2018-19,Amhara,Pasta/Macaroni,18
030616010100207103,2018-19,Amhara,Potato,60
030616010100207103,2018-19,Amhara,Salt,3
030616010100207103,2018-19,Amhara,Sugar,11
030616010100207103,2018-19,Amhara,Tea,5
030616010100207103,2018-19,Amhara,Teff,90
030616010100207103,2018-19,Amhara,Vetch,40
030616010100207103,2018-19,Amhara,Wheat,44
030616010100207115,2018-19,Amhara,Barley,40
030616010100207115,2018-19,Amhara,Berbere,25
030616010100207115,2018-19,Amhara,Coffee,30
030616010100207115,2018-19,Amhara,Kariya,5
030616010100207115,2018-19,Amhara,Leafy Greens,10
030616010100207115,2018-19,Amhara,Oils,10
030616010100207115,2018-19,Amhara,Potato,30
030616010100207115,2018-19,Amhara,Salt,3
030616010100207115,2018-19,Amhara,Sugar,11
030616010100207115,2018-19,Amhara,Tea,4
030616010100207115,2018-19,Amhara,Vetch,30
030616010100207127,2018-19,Amhara,Berbere,40
030616010100207127,2018-19,Amhara,Coffee,25
030616010100207127,2018-19,Amhara,Horsebeans,15
030616010100207127,2018-19,Amhara,Leafy Greens,15
030616010100207127,2018-19,Amhara,Maize,30
030616010100207127,2018-19,Amhara,Oils,20
030616010100207127,2018-19,Amhara,Onion,27
030616010100207127,2018-19,Amhara,Pasta/Macaroni,52
030616010100207127,2018-19,Amhara,Potato,50
030616010100207127,2018-19,Amhara,Salt,5
030616010100207127,2018-19,Amhara,Sugar,11
030616010100207127,2018-19,Amhara,Teff,30
030616010100207127,2018-19,Amhara,Tella,20
030616010100207127,2018-19,Amhara,Vetch,30
030616010100207127,2018-19,Amhara,Wheat,59
030616010100207139,2018-19,Amhara,Barley,60
030616010100207139,2018-19,Amhara,Berbere,25
030616010100207139,2018-19,Amhara,Coffee,28
030616010100207139,2018-19,Amhara,Kariya,5
030616010100207139,2018-19,Amhara,Leafy Greens,6
030616010100207139,2018-19,Amhara,Maize,30
030616010100207139,2018-19,Amhara,Oils,21
030616010100207139,2018-19,Amhara,Potato,60
030616010100207139,2018-19,Amhara,Salt,5
030616010100207139,2018-19,Amhara,Teff,30
030616010100207139,2018-19,Amhara,Vetch,38
030616010100207139,2018-19,Amhara,Wheat,66
030616010100207151,2018-19,Amhara,Berbere,40
030616010100207151,2018-19,Amhara,Coffee,30
030616010100207151,2018-19,Amhara,Kariya,5
030616010100207151,2018-19,Amhara,Oils,37
030616010100207151,2018-19,Amhara,Onion,26
030616010100207151,2018-19,Amhara,Potato,40
030616010100207151,2018-19,Amhara,Salt,3
030616010100207151,2018-19,Amhara,Sugar,11
030616010100207151,2018-19,Amhara,Tea,5
030616010100207151,2018-19,Amhara,Teff,60
030616010100207151,2018-19,Amhara,Vetch,22
030616010100207151,2018-19,Amhara,Wheat,36
030616010100207163,2018-19,Amhara,Barley,18
030616010100207163,2018-19,Amhara,Berbere,10
030616010100207163,2018-19,Amhara,Garlic,2
030616010100207163,2018-19,Amhara,Maize,8
030616010100207163,2018-19,Amhara,Oils,9
030616010100207163,2018-19,Amhara,Pasta/Macaroni,18
030616010100207163,2018-19,Amhara,Potato,30
030616010100207163,2018-19,Amhara,Salt,2
030616010100207163,2018-19,Amhara,Shiro,30
030616010100207163,2018-19,Amhara,Teff,35
030616010100207163,2018-19,Amhara,Wheat,19
030616010100207175,2018-19,Amhara,Barley,36
030616010100207175,2018-19,Amhara,Berbere,20
030616010100207175,2018-19,Amhara,Coffee,50
030616010100207175,2018-19,Amhara,Leafy Greens,10
030616010100207175,2018-19,Amhara,Maize,45
030616010100207175,2018-19,Amhara,Oils,21
030616010100207175,2018-19,Amhara,Onion,25
030616010100207175,2018-19,Amhara,Potato,50
030616010100207175,2018-19,Amhara,Salt,11
030616010100207175,2018-19,Amhara,Sugar,11
030616010100207175,2018-19,Amhara,Tea,6
030616010100207175,2018-19,Amhara,Vetch,60
030701088800919007,2018-19,Amhara,Barley,20
030701088800919007,2018-19,Amhara,Berbere,20
030701088800919007,2018-19,Amhara,Coffee,20
030701088800919007,2018-19,Amhara,Fenugreek,2
030701088800919007,2018-19,Amhara,Garlic,35
030701088800919007,2018-19,Amhara,Hops (gesho),12
030701088800919007,2018-19,Amhara,Kariya,10
030701088800919007,2018-19,Amhara,Oils,25
030701088800919007,2018-19,Amhara,Onion,13
030701088800919007,2018-19,Amhara,Pasta/Macaroni,30
030701088800919007,2018-19,Amhara,Potato,15
030701088800919007,2018-19,Amhara,Salt,4
030701088800919007,2018-19,Amhara,Sugar,10
030701088800919017,2018-19,Amhara,Barley,10
030701088800919017,2018-19,Amhara,Berbere,22
030701088800919017,2018-19,Amhara,Coffee,30
030701088800919017,2018-19,Amhara,Fenugreek,8
030701088800919017,2018-19,Amhara,Garlic,24
030701088800919017,2018-19,Amhara,Mango,20
030701088800919017,2018-19,Amhara,Oils,70
